index,link,title,description,positive,negative,neutral,compound,Month
0,https://wellstonjournal.com/north-korean-chiefs-half-brother-not-the-one-individual-to-be-killed-since-kim-jong-un-got-here-to-energy.html,North Korean chief's half brother not the one individual to be killed ...,"13 mins ago · North Korean leader Kim Jong Un . (REUTERS). North Korean leader Kim Jong Un's estranged half brother, Kim Jong Nam has been reported to be killed at the...",0.0,0.273,0.727,-0.6705,December
1,https://wellstonjournal.com/poison-suspected-in-dying-of-north-korean-chiefs-half-brother-and-rival.html,Poison suspected in dying of North Korean chief's half brother and ...,"48 mins ago · Once considered the successor to his father, Kim Jong Il, Kim Jong Nam, 45, had been living incognito in exile in Macau, reportedly under the protection of the...",0.0,0.351,0.649,-0.6597,December
2,https://www.standard.co.uk/news/world/north-korea-nuclear-weapons-kim-jong-un-christmas-gift-pyongyang-a4314326.html,US calls for nuclear talks as North Korea threatens 'Christmas gift',"1 hour ago · Earlier this month Kim Jong-un's administration issued a veiled threat about a Christmas “gift”, demanding the Americans offer substantial sanctions relief by...",0.2,0.179,0.621,0.0772,December
3,https://dentondaily.com/kim-jong-un-arrives-in-china-for-4th-meeting-with-xi/,Kim Jong-un arrives in China for 4th meeting with Xi,"1 hour ago · Kim Jong-un arrives in China for 4th meeting with Xi North Korean leader Kim Jong-un has arrived in China at the invitation of the President Xi Jinping, amid the...",0.0,0.0,1.0,0.0,December
4,https://wellstonjournal.com/kim-jong-nam-killing-might-be-signal-of-brutal-n-korean-regime.html,Kim Jong-nam: Killing might be signal of 'brutal' N Korean regime,1 hour ago · South Korea has confirmed that the half-brother of North Korea's leader Kim Jong-un has been killed in Malaysia. Kim Jong-nam died after an apparent poison...,0.0,0.328,0.672,-0.6597,December
5,https://wellstonjournal.com/kim-jong-uns-playing-half-brother-a-sufferer-of-sudden-loss-of-life.html,Kim Jong Un's playing half-brother a sufferer of “sudden loss of life”,"1 hour ago · The half-brother of North Korean leader Kim Jong Un has died in Malaysia, police on the island nation have confirmed to CBS News, amid reports in South...",0.119,0.351,0.53,-0.5423,December
6,https://stockdailydish.com/north-korea-threatens-war-with-us-over-kim-jong-un-fat-jibes/,North Korea threatens WAR with US over Kim Jong-un 'fat' jibes,"1 hour ago · BIG BONED? North Korean citizens are ready to go to war in defence of Kim's weight. , with neither willing to back down. North Korea has continued testing...",0.0,0.446,0.554,-0.8038,December
7,https://wellstonjournal.com/kim-jong-un-pledges-to-nuke-us-fleet-approaching-north-korea.html,Kim Jong-un pledges to NUKE US fleet approaching North Korea,1 hour ago · NORTH KOREA: Kim Jong-un has threatened the US and the South over operation Key Resolve. Kim Jong-un has raged as the Washington and Seoul prepare...,0.0,0.0,1.0,0.0,December
8,https://meadowlakenow.com/2019/12/16/north-korea-says-new-tests-will-help-it-counter-us-threats/,North Korea says new tests will help it counter US threats,"2 hours ago · Pak Jong Chon, chief of the Korean People's Army's general staff, asserted on ... as it approaches an end-of-year deadline set by leader Kim Jong Un to salvage...",0.186,0.193,0.621,-0.0258,December
9,https://www.cnn.com/2019/12/16/asia/us-envoy-north-korea-talks-intl-hnk-scli/index.html,'Let's get this done': US special envoy urges North Korea to restart ...,"2 hours ago · ... this week, in an attempt to salvage the talks that fell apart in February after President Donald Trump cut short a summit with North Korean leader Kim Jong Un.",0.184,0.0,0.816,0.4019,December
10,https://wellstonjournal.com/tag/north-korea-celebrates-birthday-of-late-leader-kim-jong-il,Tag: north korea celebrates birthday of late leader kim jong il,"2 hours ago · North Korea will be marking the birthday of late leader Kim Jong Il, father of current leader Kim Jong Un; above. North Korea on Tuesday celebrated its latest...",0.27,0.0,0.73,0.5719,December
11,https://wellstonjournal.com/kim-jong-uns-half-brother-killed-in-malaysia-south-korean-media-2.html,Kim Jong-un's half brother killed in Malaysia: South Korean media,"2 hours ago · The half-brother of North Korean leader Kim Jong-un has been killed in Malaysia, the Yonhap News Agency and other South Korean media outlets reported on...",0.0,0.333,0.667,-0.6705,December
12,https://www.msn.com/en-us/news/world/us-seeks-christmas-peace-with-north-korea-as-deadline-looms/ar-AAK9naZ,US Seeks Christmas Peace With North Korea as Deadline Looms,2 hours ago · (Bloomberg) -- President Donald Trump's top envoy to North Korea countered Kim Jong Un's threat of a Christmas provocation with a call for more nuclear talks...,0.267,0.122,0.611,0.4404,December
13,https://dentondaily.com/trump-says-received-great-letter-from-kim-jong-un/,Trump says received “great letter ” from Kim Jong-un,3 hours ago · United States President Donald Trump has said that he has received a “great letter” from Kim Jong-un and is looking forward to meet the North Korean leader for...,0.0,0.0,1.0,0.0,December
14,https://wellstonjournal.com/north-korea-chiefs-half-brother-and-rival-is-lifeless-in-a-suspected-assassination.html,North Korea chief's half-brother and rival is lifeless in a suspected ...,"3 hours ago · Once considered the successor to his father, Kim Jong Il, the 45-year-old Kim Jong Nam had been living incognito in exile in Macau, reportedly under the...",0.0,0.16,0.84,-0.2263,December
