index,link,title,description,positive,negative,neutral,compound,Month
0,https://news.mb.com.ph/2019/12/12/us-warns-north-korea-of-consequences-for-christmas-gift/,US warns North Korea of consequences for 'Christmas gift',"1 hour ago · At the UN Security Council, the US ambassador, Kelly Craft, voiced concern that ... Trump has hailed his relationship with North Korean leader Kim Jong Un after...",0.257,0.124,0.619,0.3612,December
1,https://www.washingtontimes.com/news/2019/dec/11/north-korea-defector-warns-donald-trump-kim-jong-u/,"North Korea defector warns Donald Trump on Kim Jong-un, nuclear ...",3 hours ago · A high-level defector from Kim Jong-un's regime has sent a letter to President Trump warning that he has been “tricked” into believing the North Korean leader...,0.0,0.323,0.677,-0.5106,December
2,https://www.ksl.com/article/46689157/us-calls-un-meeting-on-north-korea-missiles-not-rights,"US calls UN meeting on North Korea missiles, not rights",4 hours ago · It was taking place less than three weeks before North Korean leader Kim Jong Un's end-of-December deadline for the U.S. to come up with new proposals to...,0.0,0.0,1.0,0.0,December
3,https://stockdailydish.com/body-of-kim-jong-uns-brother-is-embalmed-in-malaysia/,Body of Kim Jong-un's brother is embalmed in Malaysia,4 hours ago · Body of Kim Jong-un's brother is embalmed in Malaysia a month after his murder as no relatives dare come forward to claim it for fear they will be assassinated...,0.0,0.0,1.0,0.0,December
4,https://chicago.suntimes.com/columnists/2019/12/11/21011778/north-korea-kim-jong-un-united-nations-security-council-mona-charen,United States blocks a probe of crimes against humanity in North ...,4 hours ago · It's easy to treat Kim Jong Un as a figure of ridicule. I've done it myself. His foreign ministry issues statements like this: “If any language and expressions stoking...,0.204,0.139,0.657,0.2263,December
5,https://www.channelnewsasia.com/news/asia/us-warns-north-korea-of-consequences-of-missile-test-12177854,US warns North Korea of consequences of missile test,"5 hours ago · US President Donald Trump and North Korea's leader Kim Jong Un at the Demilitarized Zone(DMZ) on Jun 30, 2019, in Panmunjom, Korea. (Photo:...",0.0,0.149,0.851,-0.1027,December
6,https://www.wbur.org/hereandnow/2019/12/11/deadline-looms-north-korea-nuclear-talks,Deadline Looms On U.S.-North Korea Nuclear Talks,"10 hours ago · The United Nations Security Council meets Wednesday to discuss North Korea's latest missile launches. Meanwhile, North Korean leader Kim Jong Un has...",0.0,0.211,0.789,-0.1531,December
7,https://www.cnsnews.com/article/international/patrick-goodenough/kim-jong-uns-deadline-nears-regime-resorts-insulting-trump,"As Kim Jong Un's Deadline Nears, Regime Resorts to Insulting ...","18 hours ago · In a speech last spring, Kim Jong Un set a year-end deadline for the U.S. to make a “bold decision” that shows a willingness to change its approach.",0.0,0.242,0.758,-0.4939,December
8,https://www.cnbc.com/2019/12/11/how-the-us-north-korea-nuclear-crisis-could-unfold-by-year-end.html,Here's how the US-North Korea nuclear crisis could unfold before ...,"20 hours ago · In response, U.S. President Donald Trump said on Twitter that North Korean leader Kim Jong Un risks losing “everything” if he acts in a hostile manner. He also...",0.0,0.291,0.709,-0.6249,December
9,http://world.kbs.co.kr/service/news_view.htm%3Flang%3De%26Seq_Code%3D149941,Pompeo Urges Kim Jong-un to Keep ICBM Moratorium,"21 hours ago · Anchor: UN Security Council member states, as well as South Korea, are scheduled to hold a meeting in New York on Wednesday to discuss North Korea's...",0.0,0.0,1.0,0.0,December
10,https://theprint.in/world/north-koreas-kim-jong-un-tests-donald-trumps-patience-with-nuclear-bomb-tests-taunts/333398/,North Korea's Kim Jong-un tests Donald Trump's patience with ...,21 hours ago · At the crux of the president's calculations is whether it's worthwhile to keep pressing North Korea's Kim Jong Un to negotiate even though he's no closer to giving...,0.0,0.0,1.0,0.0,December
11,https://www.ft.com/content/d033c254-1ba6-11ea-9186-7348c2f183af,North Korean defectors reveal wretched state of female healthcare,"1 day ago · ... 100,000 births, 15 times higher than what had been reported in UN data and ... convince North Korean dictator Kim Jong Un to give up his nuclear weapons.",0.0,0.223,0.777,-0.3182,December
12,https://www.wsj.com/articles/how-to-defeat-kim-jong-un-11576021495,How to Defeat Kim Jong Un,"1 day ago · Kim Jong Un publicly announced as much nearly two years ago, on New Year's Day 2018. Mr. Kim successfully parlayed a temporary halt to nuclear and ICBM...",0.0,0.375,0.625,-0.4588,December
